tweet,clean_tweet,label
"@SamFerkyFers10 @idextratime hebat darimana uruguay brp kali masuk final juara di tahun baru baru ada pildun dulu sekarang ga ada apa apanya,mampus kalah lagian ngapain mentri nya bakal ngibarin bendera lgbt kalo prancis menang",hebat darimana uruguay berapa kali masuk final juara di tahun baru baru ada pildun dulu sekarang tidak ada apa apanya mampus kalah lagian sedang apa mentri nya bakal ngibarin bendera lgbt kalau prancis menang,
"@Fasa77342812 @rakkaustarina1 @idextratime Lah yg diomongin kan 'sepakbola' not their player, sepakbola jelas lebih maju eropa, negara paling banyak juara pildun aja eropa, peringkat 10 besar aja dominasi eropa, semua pemain berbakat larinya ke eropa  Gimana?",lah yang diomongin kan sepakbola not their player sepakbola jelas lebih maju eropa negara paling banyak juara pildun saja eropa peringkat 10 besar saja dominasi eropa semua pemain berbakat larinya ke eropa bagaimana,
messi sengaja menang pildun biar bisa keluar dari paris 🤔,messi sengaja menang pildun biar bisa keluar dari paris,
"@idextratime Bayangin lah sebelumnya 2014 kalah di final, ya kerasa banget lah euforianya 😭 Yg bikin pildun ini spesial ya karena Messi di final dan ada juara bertahan.",bayangin lah sebelumnya 2014 kalah di final iya kerasa banget lah euforianya yang bikin pildun ini spesial iya karena messi di final dan ada juara bertahan,
"@UTDwib @whathevuck @idextratime nah itu, mungkin ngerasa diberi kebebasan sama pihak penyelenggara di sana, akhirnya dia berani aja masuk ke lapangan dan foto2 sama pemain Argentina sambil pegang2 trofi pildun, padahal udah keliatan bahasa tubuh pemain Argen yg gak nyaman gitu, si saltbae ini gak peka sama itu",nah itu mungkin ngerasa diberi kebebasan sama pihak penyelenggara di sana akhirnya dia berani saja masuk ke lapangan dan foto-foto sama pemain argentina sambil memegang trofi pildun padahal sudah kelihatan bahasa tubuh pemain argentina yang tidak nyaman gitu si saltbae ini tidak peka sama itu,
"Balik dari pildun gacor, lets see in premier league",balik dari pildun hebat lets see in premier league,
@Bayy0705 @idextratime Gk sekalian bangunin klo C.Ronaldo dah menang Pildun🤣,tidak sekalian bangunin kalau c ronaldo deh menang pildun,
"@baber168 @whathevuck @idextratime Lebih tepatnya doi tuh merangkul pemain sepakbola jual makanannya mahal ke pesepakbola. Terus trofi pildun sakral gak semua orang bisa pegang, masalah utamanya itu sih doi asal masuk kek sok kenal gitu megang dan moto trofi",lebih tepatnya dia tuh merangkul pemain sepakbola jual makanannya mahal ke pesepakbola terus trofi pildun sakral tidak semua orang bisa pegang masalah utamanya itu sih dia asal masuk seperti sok kenal gitu pegang dan memfoto trofi,
"@idextratime Yah itu andil ronaldo, sebelumnya mana ada orang portugal mau main bola, jarang, makannya lolos pildun aja cuma 3 kali, gak pernah dapet gelar apapun di internasional",yah itu andil ronaldo sebelumnya mana ada orang portugal mau main bola jarang makannya lolos pildun saja cuma 3 kali tidak pernah dapat gelar apapun di internasional,
@Rizxfa itulah yang dirasakan mbappe pas final pildun😌,itulah yang dirasakan mbappe pas final pildun,
Waktu Argentina Lolos Sampe final WC 2014 rasanya gk keduga karna kualitas pemain argen yg biasa aja. Aku masih inget final saat itu keadaan sahur dan nobar dirumah tetangga. Alhasil messi gagal bawa pulang pildun tahun itu.  https://t.co/swTDC1u6mV,waktu argentina lolos sampai final wc 2014 rasanya tidak keduga karena kualitas pemain argentina yang biasa saja aku masih inget final saat itu keadaan sahur dan nonton bareng dirumah tetangga alhasil messi gagal bawa pulang pildun tahun itu,
@idextratime Bangdo ga ada niatan ikut pildun U20 ya? Kl juara setidaknya bisa di Banggain sama fansnya😭,ronaldo tidak ada niatan ikut pildun u20 iya kalau juara setidaknya bisa di banggain sama fansnya,
@nowplayingbts Aku bakal tau bakal ada cowo taek kayak gini 🤣🤣🤣 aku nonton bila udh lama tapi ya ada temen ku yg baru hype pas pildun. Ya aku kasih liat siapa2 yg ganteng. Trus endingnya kamu tuh lahir di adzani bukan dilempar bola (kalo gak salah soalnya gak begitu jelas ngomongnya),aku bakal tahu bakal ada cowo tai kayak gini aku nonton bila sudah lama tapi iya ada teman ku yang baru hype pas pildun iya aku kasih lihat siapa-siapa yang ganteng lalu endingnya kamu tuh lahir di adzani bukan dilempar bola kalau tidak salah soalnya tidak begitu jelas ngomongnya,
"@GOAL_ID Tibang piala aja diributin, piala gak bernyawa, mau dibanting di cium gpp.. asal jgn ngaku2 aja salt Bae udah juara pildun..😂😂😂",tibang piala saja diributin piala tidak bernyawa mau dibanting di cium tidak apa-apa asal jangan mengaku saja salt bae sudah juara pildun,
"@dickykcivv @idextratime Emosi si titit kambing satu ini liat goat anglat tropi pildun, sabar bang wkwk",emosi si titit kambing satu ini lihat goat angkat tropi pildun sabar bang wkwk,
"@Kirasaaa @SiaranBolaLive nendang lawan, kasih jari tengah (pildun 2018 dia ngasi jari tengah abis Messi cetak gol vs nigeria), belom lagi karirnya abis karena pake doping.",nendang lawan kasih jari tengah pildun 2018 dia memberi jari tengah habis messi cetak gol vs nigeria belum lagi karirnya habis karena pakai doping,
"@real_damage18 😂😂😂 hilih messi omdo 😂 katanya abis pildun ini mau pensi, eh  masih mau main katanya wkwk. huhuhu😭 dahal klo ada benzema pasti bisa eksekusi penalti🥹",hilih messi ngomong doang katanya habis pildun ini mau pensi eh masih mau main katanya wkwk huhuhu padahal kalau ada benzema pasti bisa eksekusi penalti,
@kegblgnunfaedh aguero kyknya bukan squad pildun tp ikutan juara,aguero kayaknya bukan squad pildun tapi ikutan juara,
Ini pas kemarin nobar pildun hehehehe congrats Argentina! ❤️ #FIFAWorldCup #FIFAWorldCup2022  https://t.co/sP2jCpxMmm,ini pas kemarin nonton bareng pildun hehehehe congrats argentina fifaworldcup fifaworldcup2022,
@fhrizall @rismadwip @SiaranBolaLive menang pildun u20 😜,menang pildun u20,
@GOAL_ID Final pildun U21 yg dimenangkan 🇦🇷🇦🇷🇦🇷 di Maria gak cetak gol kah??🤔,final pildun u21 yang dimenangkan di maria tidak cetak gol kah,
tidak berasa sudah menemani neymar main di pildun untuk ketiga kalinya,nggak berasa sudah menemani neymar main di pildun untuk ketiga kalinya,
"@idextratime terima aja udah, wkwk, lagian mereka udah lama banget gak juara pildun",terima saja sudah wkwk lagian mereka sudah lama banget tidak juara pildun,
"smalam mimpi wv update kegiatan jin di wamil. ada yg pas dia lagi nonton pildun bareng anggota wamil, ada yg pas dia pake baju tentara warna item &amp; senjata laras panjang, ada yg pas dia lagi berdiri sikap hormat sambil pegang senjata 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",semalam mimpi wv update kegiatan jin di wajib militer ada yang pas dia lagi nonton pildun bareng anggota wajib militer ada yang pas dia pakai baju tentara warna hitam senjata laras panjang ada yang pas dia lagi berdiri sikap hormat sambil pegang senjata,
@Qiqicampjamaica @SyabannulK @Messinisti @DwiPrasetyaSan1 @ndakpayurabi @idextratime Yg diomongin bukan liga sih tapi lebih ke negara Amerika Latin kalah saing fg negara eropa di pildun kata mbappe,yang diomongin bukan liga sih tapi lebih ke negara amerika latin kalah saing fg negara eropa di pildun kata mbappe,
@syqadn @IRahmannuddin_ @idextratime Yaa rame karena org lagi nonton pildun bang,yaa ramai karena orang lagi nonton pildun bang,
